  l  lp m  mp k  ck 
  2  2  0  0  0   1.000000000000E+00
  2  2  0  0  2   2.857142857143E-01
  2  2  0  0  4   2.857142857143E-01
  2  2  0  1  2  -1.428571428571E-01
  2  2  0  1  4  -2.608202654787E-01
  2  2  0  2  2  -2.857142857143E-01
  2  2  0  2  4   1.844277783908E-01
  2  2  1 -2  4   2.817180849095E-01
  2  2  1 -1  2  -3.499271061119E-01
  2  2  1 -1  4  -3.011693009684E-01
  2  2  1  0  2   1.428571428571E-01
  2  2  1  0  4   2.608202654787E-01
  2  2  1  1  0   1.000000000000E+00
  2  2  1  1  2   1.428571428571E-01
  2  2  1  1  4  -1.904761904762E-01
  2  2  1  2  2  -3.499271061119E-01
  2  2  1  2  4   1.064794275000E-01
  2  2  2 -2  4   3.984095364448E-01
  2  2  2 -1  4  -2.817180849095E-01
  2  2  2  0  2  -2.857142857143E-01
  2  2  2  0  4   1.844277783908E-01
  2  2  2  1  2   3.499271061119E-01
  2  2  2  1  4  -1.064794275000E-01
  2  2  2  2  0   1.000000000000E+00
  2  2  2  2  2  -2.857142857143E-01
  2  2  2  2  4   4.761904761905E-02
  2  3 -2 -3  1  -6.546536707080E-01
  2  3 -2 -3  3   1.781741612749E-01
  2  3 -2 -3  5  -2.561073499177E-02
  2  3 -2 -2  1   3.779644730092E-01
  2  3 -2 -2  3  -2.519763153395E-01
  2  3 -2 -2  5   5.726734439534E-02
  2  3 -2 -1  1  -1.690308509457E-01
  2  3 -2 -1  3   2.760262237369E-01
  2  3 -2 -1  5  -9.918995010727E-02
  2  3 -2  0  3  -2.519763153395E-01
  2  3 -2  0  5   1.515151515152E-01
  2  3 -2  1  3   1.781741612749E-01
  2  3 -2  1  5  -2.142747821777E-01
  2  3 -2  2  5   2.874797872880E-01
  2  3 -2  3  5  -3.711348095126E-01
  2  3 -1 -3  3   2.817180849095E-01
  2  3 -1 -3  5  -6.775963568181E-02
  2  3 -1 -2  1  -5.345224838248E-01
  2  3 -1 -2  3  -2.182178902360E-01
  2  3 -1 -2  5   1.254664653350E-01
  2  3 -1 -1  1   4.780914437338E-01
  2  3 -1 -1  3   7.968190728896E-02
